youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,89,0.5055555555555555,2018:06:11 05:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:11 05:00:00
0007,25.0330388889,121.565619444,80,22,0.725,2018:06:11 05:00:00
0011,25.034937,121.55762,66,55,0.16666666666666666,2018:06:11 05:00:00
0088,25.032922, 121.57087,62,32,0.4838709677419355,2018:06:11 05:00:00
0132,25.01603085,121.5331757,88,47,0.4659090909090909,2018:06:11 05:00:00
0163,25.018097,121.559279,72,45,0.375,2018:06:11 05:00:00
0030,25.017054,121.544352,74,43,0.4189189189189189,2018:06:11 05:00:00
0036,25.02101,121.54153,72,6,0.9166666666666666,2018:06:11 05:00:00
0083,25.033156,121.535161,74,58,0.21621621621621623,2018:06:11 05:00:00
0176,25.055997 ,121.542318 ,98,75,0.23469387755102042,2018:06:11 05:00:00
0162,25.062924,121.52772,70,55,0.21428571428571427,2018:06:11 05:00:00
0121,25.05298,121.540568,66,27,0.5909090909090909,2018:06:11 05:00:00
0021,25.057985,121.548982,66,20,0.696969696969697,2018:06:11 05:00:00
0015,25.049845,121.571885,60,34,0.43333333333333335,2018:06:11 05:00:00
0050,25.062002,121.560186,52,27,0.4807692307692308,2018:06:11 05:00:00
0175,25.051618 ,121.544847 ,52,15,0.7115384615384616,2018:06:11 05:00:00
0170,25.059245,121.568883,50,37,0.26,2018:06:11 05:00:00
0046,25.05646,121.611027 ,44,5,0.8863636363636364,2018:06:11 05:00:00
0026,25.050142,121.592375,42,6,0.8571428571428571,2018:06:11 05:00:00
0115,25.048222,121.520526,68,17,0.75,2018:06:11 05:00:00
0186,25.035414 ,121.514218 ,82,35,0.573170731707317,2018:06:11 05:00:00
0082,25.041778,121.508693 ,60,28,0.5333333333333333,2018:06:11 05:00:00
0080,25.02751,121.495869,44,10,0.7727272727272727,2018:06:11 05:00:00
0120,25.035479,121.50026,46,16,0.6521739130434783,2018:06:11 05:00:00
0090,25.037783,121.501708,44,25,0.4318181818181818,2018:06:11 05:00:00
0143,24.997659,121.578752,72,28,0.6111111111111112,2018:06:11 05:00:00
0144,24.988363,121.576536,70,21,0.7,2018:06:11 05:00:00
0142,24.997747,121.574214,52,22,0.5769230769230769,2018:06:11 05:00:00
0094,24.993254,121.541059,52,16,0.6923076923076923,2018:06:11 05:00:00
0098,24.999378,121.540197,42,33,0.21428571428571427,2018:06:11 05:00:00
0078,25.071824,121.519287,52,8,0.8461538461538461,2018:06:11 05:00:00
0079,25.061285,121.520205,50,28,0.44,2018:06:11 05:00:00
0140,25.063404,121.512909,46,9,0.8043478260869565,2018:06:11 05:00:00
0099,25.057866,121.520711,42,6,0.8571428571428571,2018:06:11 05:00:00
0134,25.10336,121.522629,64,16,0.75,2018:06:11 05:00:00
0188,25.090293 ,121.501890 ,56,26,0.5357142857142857,2018:06:11 05:00:00
0097,25.082825,121.524721,52,7,0.8653846153846154,2018:06:11 05:00:00
0167,25.095714,121.518046,50,15,0.7,2018:06:11 05:00:00
0122,25.079666,121.57584,50,22,0.56,2018:06:11 05:00:00
0129,25.078424,121.58456,50,27,0.46,2018:06:11 05:00:00
0191,25.083873,121.60206,58,16,0.7241379310344828,2018:06:11 05:00:00
0148,25.110331,121.518316,68,32,0.5294117647058824,2018:06:11 05:00:00
0164,25.126286,121.500801,56,7,0.875,2018:06:11 05:00:00
0117,25.132581,121.498618,58,4,0.9310344827586207,2018:06:11 05:00:00
