youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,154,0.14444444444444443,2018:06:10 17:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:10 17:00:00
0007,25.0330388889,121.565619444,80,31,0.6125,2018:06:10 17:00:00
0011,25.034937,121.55762,66,12,0.8181818181818182,2018:06:10 17:00:00
0088,25.032922, 121.57087,62,30,0.5161290322580645,2018:06:10 17:00:00
0132,25.01603085,121.5331757,88,41,0.5340909090909091,2018:06:10 17:00:00
0163,25.018097,121.559279,72,27,0.625,2018:06:10 17:00:00
0030,25.017054,121.544352,74,49,0.33783783783783783,2018:06:10 17:00:00
0036,25.02101,121.54153,72,42,0.4166666666666667,2018:06:10 17:00:00
0083,25.033156,121.535161,74,38,0.4864864864864865,2018:06:10 17:00:00
0176,25.055997 ,121.542318 ,98,53,0.45918367346938777,2018:06:10 17:00:00
0162,25.062924,121.52772,70,40,0.42857142857142855,2018:06:10 17:00:00
0121,25.05298,121.540568,66,31,0.5303030303030303,2018:06:10 17:00:00
0021,25.057985,121.548982,66,21,0.6818181818181818,2018:06:10 17:00:00
0015,25.049845,121.571885,60,12,0.8,2018:06:10 17:00:00
0050,25.062002,121.560186,52,25,0.5192307692307693,2018:06:10 17:00:00
0175,25.051618 ,121.544847 ,52,7,0.8653846153846154,2018:06:10 17:00:00
0170,25.059245,121.568883,50,22,0.56,2018:06:10 17:00:00
0046,25.05646,121.611027 ,44,14,0.6818181818181818,2018:06:10 17:00:00
0026,25.050142,121.592375,42,27,0.35714285714285715,2018:06:10 17:00:00
0115,25.048222,121.520526,68,30,0.5588235294117647,2018:06:10 17:00:00
0186,25.035414 ,121.514218 ,82,41,0.5,2018:06:10 17:00:00
0082,25.041778,121.508693 ,60,20,0.6666666666666666,2018:06:10 17:00:00
0080,25.02751,121.495869,44,17,0.6136363636363636,2018:06:10 17:00:00
0120,25.035479,121.50026,46,4,0.9130434782608695,2018:06:10 17:00:00
0090,25.037783,121.501708,44,13,0.7045454545454546,2018:06:10 17:00:00
0143,24.997659,121.578752,72,20,0.7222222222222222,2018:06:10 17:00:00
0144,24.988363,121.576536,70,37,0.4714285714285714,2018:06:10 17:00:00
0142,24.997747,121.574214,52,32,0.38461538461538464,2018:06:10 17:00:00
0094,24.993254,121.541059,52,5,0.9038461538461539,2018:06:10 17:00:00
0098,24.999378,121.540197,42,30,0.2857142857142857,2018:06:10 17:00:00
