road_section_id,youbike_stop_num
,
ZJERC60,1
ZI9RI40,6
ZHJRJ60,7
ZHKPV40,11
ZHJRJ60,88
,
,
ZCPKT40,132
ZEUPN60,163
ZEFMN40,30
ZF9KW60,36
ZHMKV20,83
,
,
ZLZM900,176
ZP6IG60,162
ZMDLH20,121
ZU8P760,210
ZLRJM60,240
,
,
ZNUNJ00,21
ZKQQY20,15
ZNXPC60,50
ZLPN800,175
ZN7ST40,170
,
,
,179
ZMH3J60,46
ZM64J20,279
ZMGXG60,201
ZLEWS20,26
,
,
ZKVHI20,115
ZHWGD40,186
ZJMHU60,288
ZJPEI60,82
ZKJJP20,313
,
,
ZGKCG40,80
ZIME520,275
ZHZDJ20,208
ZHZDJ20,120
ZIDDL00,90
,
,
Z2AT940,143
Z1TT960,144
Z2LSS20,142
Z2KLN40,94
Z2WKS40,98
,
,
ZLAFP60,215
ZR8GZ40,78
ZP8GI20,79
ZP8FZ40,140
ZMTHB20,99
,
,
ZYSIB00,134
ZTWD760,188
ZR8GZ40,97
ZV9IP40,167
ZTTIF40,375
,
,
ZSXTK20,122
ZSSWC60,129
ZTZY920,191
Z6150C0,214
Z6340G0,239
,
,
ZY9H840,148
Z7JCE40,164
Z8040A1,202
,165
Z7JCE40,117
